"location","source","target"
"","defaultheader.PostAFreeClassifiedAd","නොමිලේ ලුහුඬු දැන්වීමක් යොදන්න"
"","defaultheader.PostAnAd","දැන්වීමක් පළ කරන්න"
"","defaultheader.PostPicturesButton","ඡායාරූප පළ කරන්න"
"","defaultheader.PublishFreeAd","නොමිලේ ලුහුඬු දැන්වීමක් පළ කරන්න"
"","defaultheader.Region","කලාපය"
"","defaultheader.Register","ලියාපදිංචි කරන්න"
"","defaultheader.Register2","ලියාපදිංචි කරන්න"
"","defaultheader.Sat","සෙන"
"","defaultheader.Saturday","සෙනසුරාදා"
"","defaultheader.Search","සොයන්න"
"","defaultheader.Seconds","තත්පර"
"","defaultheader.SelectCityState","නගරය/ප්‍රාන්තය තෝරන්න"
"","defaultheader.SelectCountry","රට තෝරන්න"
"","defaultheader.Selected_Region","ස්ථානය"
"","defaultheader.Sep","සැප්"
"","defaultheader.September","සැප්තැම්බර්"
"","defaultheader.SiteLanguage","ලැයිස්තු:"
"","defaultheader.State","ප්‍රාන්තය"
"","defaultheader.StayConnected","සම්බන්ධ වී සිටින්න"
"","defaultheader.Sun","ඉරි"
"","defaultheader.Sunday","ඉරිදා"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","අපට ඔබගේ අදහස් පවසන්න, සමීක්ෂණයට පිළිතුරු දෙන්න!"
"","defaultheader.TheWeb","වෙබ්"
"","defaultheader.Thu","බ්‍රහ"
"","defaultheader.Thursday","බ්‍රහස්පතින්දා"
"","defaultheader.Tue","අඟ"
"","defaultheader.Tuesday","අඟහරුවාදා"
"","defaultheader.UsefulInformation","ප්‍රයෝජනවත් තොරතුරු"
"","defaultheader.UserNameHasPublishedThis","<<USERNAME>> මෙම දැන්වීම පළ කර තිබේ"
"","defaultheader.VoteUrl","/index.php?a=1&newpost=1"
"","defaultheader.Wed","බදා"
"","defaultheader.Wednesday","බදාදා"
"","defaultheader.Welcome","ආයුබෝවන්"
"","defaultheader.WhatAreYouLookingFor","ඔබ සොයන්නේ කුමක්ද?"
"","defaultheader.WhatWouldYouLikeToDoNext","ඔබ ඊළඟට ඔබ කිරීමට කැමති කුමක්ද?"
